ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
626557707,Audio,Common Yellowthroat,Geothlypis trichas,"Anas platyrhynchos -- Mallard; Charadrius vociferus -- Killdeer",Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Geothlypis trichas,comyel,Species,33749,,2.50,2,"",,
626557692,Audio,American Crow,Corvus brachyrhynchos,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",Flying,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,1,"",,
626557682,Audio,California Towhee,Melozone crissalis,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Melozone crissalis,caltow,Species,33068,,3.00,1,"",,
626557675,Audio,Northern Pintail,Anas acuta,Sayornis nigricans -- Black Phoebe,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Anas acuta,norpin,Species,571,,2.00,2,"",,
626557653,Audio,Greater Yellowlegs,Tringa melanoleuca,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,ID by sound,,Tringa melanoleuca,greyel,Species,6092,,2.00,1,"",,
626557644,Audio,House Finch,Haemorhous mexicanus,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,"",,Haemorhous mexicanus,houfin,Species,32034,,2.00,1,"",,
626557641,Audio,Mallard,Anas platyrhynchos,Melospiza melodia -- Song Sparrow,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Anas platyrhynchos,mallar3,Species,525,,1.00,1,"",,
626557628,Audio,White-crowned Sparrow,Zonotrichia leucophrys,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Zonotrichia leucophrys,whcspa,Species,32905,,5.00,1,"",,
626557615,Audio,Marsh Wren,Cistothorus palustris,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,"",,Cistothorus palustris,marwre,Species,27088,,3.00,1,"",,
626557613,Audio,"Bewick's Wren",Thryomanes bewickii,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,, ,,Thryomanes bewickii,bewwre,Species,27121,,2.00,1,"",,
626557575,Audio,Bushtit,Psaltriparus minimus,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Psaltriparus minimus,bushti,Species,25018,,2.00,1,"",,
626557563,Audio,"Say's Phoebe",Sayornis saya,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Sayornis saya,saypho,Species,16843,,1.00,1,"",,
626557557,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Corthylio calendula,ruckin,Species,26595,,2.00,1,"",,
626557552,Audio,Yellow-rumped Warbler,Setophaga coronata,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Setophaga coronata,yerwar,Species,33874,,3.00,1,"",,
626557548,Audio,California Scrub-Jay,Aphelocoma californica,Setophaga coronata -- Yellow-rumped Warbler,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,3.00,2,"",,
626557545,Audio,California Scrub-Jay,Aphelocoma californica,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.00,1,"",,
626557540,Audio,Wild Turkey,Meleagris gallopavo,,Rodrigo Dueñas,2024-11-09,2024,11,9,727,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202974271,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,5.00,1,"",,
626485786,Audio,Yellow-rumped Warbler,Setophaga coronata,,Rodrigo Dueñas,2024-11-11,2024,11,11,1626,United States,US-CA-085,California,Santa Clara,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202220075,"",,,,,Setophaga coronata,yerwar,Species,33874,,3.00,1,"",,
626485782,Audio,Black Phoebe,Sayornis nigricans,,Rodrigo Dueñas,2024-11-11,2024,11,11,1626,United States,US-CA-085,California,Santa Clara,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202220075,"",,,,,Sayornis nigricans,blkpho,Species,16831,,3.00,1,"",,
626485781,Audio,Black Phoebe,Sayornis nigricans,,Rodrigo Dueñas,2024-11-11,2024,11,11,1626,United States,US-CA-085,California,Santa Clara,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202220075,"",,,,,Sayornis nigricans,blkpho,Species,16831,,2.00,1,"",,
626485751,Audio,White-crowned Sparrow,Zonotrichia leucophrys,,Rodrigo Dueñas,2024-11-11,2024,11,11,1626,United States,US-CA-085,California,Santa Clara,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202220075,"",,,,,Zonotrichia leucophrys,whcspa,Species,32905,,2.00,1,"",,
626485749,Audio,American Coot,Fulica americana,,Rodrigo Dueñas,2024-11-11,2024,11,11,1626,United States,US-CA-085,California,Santa Clara,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202220075,"",,,,,Fulica americana,y00475,Species,5443,,3.00,1,"",,
626485734,Audio,Common Yellowthroat,Geothlypis trichas,,Rodrigo Dueñas,2024-11-11,2024,11,11,1626,United States,US-CA-085,California,Santa Clara,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202220075,"",,,,,Geothlypis trichas,comyel,Species,33749,,2.00,1,"",,
626485053,Audio,Golden-crowned Sparrow,Zonotrichia atricapilla,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Zonotrichia atricapilla,gocspa,Species,32914,,4.00,1,"",,
626447916,Audio,Marsh Wren,Cistothorus palustris,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Unknown – 1,"Call; Foraging or Eating",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Cistothorus palustris,marwre,Species,27088,,3.00,1,"",,
626447800,Audio,Song Sparrow,Melospiza melodia,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Melospiza melodia,sonspa,Species,32995,,2.00,1,"",,
626447722,Audio,"Say's Phoebe",Sayornis saya,Sayornis nigricans [nigricans Group] -- Black Phoebe (Northern),Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Unknown – 1,Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,"Wasn't able to identify by sight but listened to the recording afterwards",,Sayornis saya,saypho,Species,16843,,3.00,1,"",,
626447683,Audio,Black Phoebe (Northern),Sayornis nigricans [nigricans Group],,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Unknown – 1,Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Sayornis nigricans,blkpho1,Group,16832,,3.00,1,"",,
626447649,Audio,House Finch,Haemorhous mexicanus,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Haemorhous mexicanus,houfin,Species,32034,,3.00,1,"",,
626447527,Audio,Marsh Wren,Cistothorus palustris,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult – 1,"Call; Foraging or Eating",Unspecified,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Cistothorus palustris,marwre,Species,27088,,5.00,1,"",,
626447443,Audio,Least Sandpiper,Calidris minutilla,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Calidris minutilla,leasan,Species,6162,,1.00,1,"",,
626447257,Audio,Common Raven,Corvus corax,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","Call; Flying",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,,,Corvus corax,comrav,Species,21400,,4.00,1,"",,
626447081,Audio,California Scrub-Jay,Aphelocoma californica,,Rodrigo Dueñas,2024-11-17,2024,11,17,719,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult – 1,Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S202811385,"",,,Perched on a tree branch,,Aphelocoma californica,cowscj1,Species,21075,,5.00,1,"",,
625745134,Photo,Osprey (American),Pandion haliaetus carolinensis,,Rodrigo Dueñas,2024-11-02,2024,11,2,1451,United States,US-CA-053,California,Monterey,Monterey Bay Aquarium (outside only),36.6183407,-121.9016623,"",,Unspecified,"","",,,,,,,S201177048,"",,,,,Pandion haliaetus,osprey1,Group,7739,,2.00,1,,4080,3072
625745135,Photo,Osprey (American),Pandion haliaetus carolinensis,,Rodrigo Dueñas,2024-11-02,2024,11,2,1451,United States,US-CA-053,California,Monterey,Monterey Bay Aquarium (outside only),36.6183407,-121.9016623,"",,Unspecified,"","",,,,,,,S201177048,"",,,,,Pandion haliaetus,osprey1,Group,7739,,2.00,1,,4080,3072
625246863,Photo,Lesser Horned Owl,Bubo magellanicus,,Rodrigo Dueñas,2024-10-19,2024,10,19,1242,Chile,CL-RM-LOB,Región Metropolitana de Santiago,Lo Barnechea,Camino a La Parva--Vegas y Pastizales,-33.3442243,-70.2990460,"",,Unspecified,"","",,,,,,,S199524278,"",,,,,Bubo magellanicus,grhowl2,Species,8827,,4.00,1,,4080,3072
625246862,Photo,Lesser Horned Owl,Bubo magellanicus,,Rodrigo Dueñas,2024-10-19,2024,10,19,1242,Chile,CL-RM-LOB,Región Metropolitana de Santiago,Lo Barnechea,Camino a La Parva--Vegas y Pastizales,-33.3442243,-70.2990460,"",,Unspecified,"","",,,,,,,S199524278,"",,,,,Bubo magellanicus,grhowl2,Species,8827,,5.00,1,,4080,3072
625246864,Photo,Lesser Horned Owl,Bubo magellanicus,,Rodrigo Dueñas,2024-10-19,2024,10,19,1242,Chile,CL-RM-LOB,Región Metropolitana de Santiago,Lo Barnechea,Camino a La Parva--Vegas y Pastizales,-33.3442243,-70.2990460,"",,Unspecified,"","",,,,,,,S199524278,"",,,,,Bubo magellanicus,grhowl2,Species,8827,,5.00,1,,4080,3072
625246796,Photo,Gray-hooded Sierra Finch,Phrygilus gayi,,Rodrigo Dueñas,2024-10-19,2024,10,19,1056,Chile,CL-RM-LOB,Región Metropolitana de Santiago,Lo Barnechea,Camino Valle Nevado--Plaza de los Pumas,-33.3598718,-70.2904201,"",,Unspecified,"","",,,,,,,S199524262,"",,,,,Phrygilus gayi,gyhsif1,Species,35060,,3.00,1,,3072,4080
625246747,Photo,Chilean Pigeon,Patagioenas araucana,,Rodrigo Dueñas,2024-10-12,2024,10,12,1513,Chile,CL-VS-QNT,Valparaíso,Quintero,Estero Mantagua,-32.8844165,-71.5067482,"",,Unspecified,"","",,,,,,,S198994241,"",,,,,Patagioenas araucana,chipig2,Species,1940,,3.00,1,,4080,3072
625246708,Photo,Wren-like Rushbird,Phleocryptes melanops,,Rodrigo Dueñas,2024-10-12,2024,10,12,1103,Chile,CL-VS-QNT,Valparaíso,Quintero,Estero Mantagua,-32.8844165,-71.5067482,"",,Unspecified,"","",,,,,,,S198994043,"",,,,,Phleocryptes melanops,wrlrus1,Species,14908,,2.00,1,,4080,3072
625246687,Photo,Rufous-tailed Plantcutter,Phytotoma rara,,Rodrigo Dueñas,2024-10-12,2024,10,12,1103,Chile,CL-VS-QNT,Valparaíso,Quintero,Estero Mantagua,-32.8844165,-71.5067482,"",,Unspecified,"","",,,,,,,S198994043,"",,,,,Phytotoma rara,rutpla1,Species,15724,,2.00,1,,4080,3072
625246637,Photo,Diuca Finch,Diuca diuca,,Rodrigo Dueñas,2024-10-11,2024,10,11,823,Chile,CL-RM-LAM,Región Metropolitana de Santiago,Lampa,SN Laguna Batuco,-33.2064427,-70.8279133,"",,Unspecified,"","",,,,,,,S198398135,"",,,,,Diuca diuca,codfin1,Species,35066,,4.00,1,,4080,3072
625246625,Photo,Yellow-winged Blackbird,Agelasticus thilius,,Rodrigo Dueñas,2024-10-11,2024,10,11,1044,Chile,CL-RM-LAM,Región Metropolitana de Santiago,Lampa,SN Laguna Batuco,-33.2064427,-70.8279133,"",,Unspecified,"","",,,,,,,S198398422,"",,,,,Agelasticus thilius,yewbla2,Species,33654,,1.00,1,,3072,4080
625246580,Photo,Long-tailed Meadowlark,Leistes loyca,,Rodrigo Dueñas,2024-10-11,2024,10,11,823,Chile,CL-RM-LAM,Región Metropolitana de Santiago,Lampa,SN Laguna Batuco,-33.2064427,-70.8279133,"",,Unspecified,"","",,,,,,,S198398135,"",,,,,Leistes loyca,lotmea1,Species,33322,,4.00,1,,4080,3072
625246482,Photo,Chilean Mockingbird,Mimus thenca,,Rodrigo Dueñas,2024-10-11,2024,10,11,1044,Chile,CL-RM-LAM,Región Metropolitana de Santiago,Lampa,SN Laguna Batuco,-33.2064427,-70.8279133,"",,Unspecified,"","",,,,,,,S198398422,"",,,,,Mimus thenca,chimoc1,Species,27828,,3.00,1,,4080,3072
625246481,Photo,Chilean Mockingbird,Mimus thenca,,Rodrigo Dueñas,2024-10-11,2024,10,11,1044,Chile,CL-RM-LAM,Región Metropolitana de Santiago,Lampa,SN Laguna Batuco,-33.2064427,-70.8279133,"",,Unspecified,"","",,,,,,,S198398422,"",,,,,Mimus thenca,chimoc1,Species,27828,,4.00,1,,4080,3072
619242708,Photo,Great Egret,Ardea alba,,Rodrigo Dueñas,2024-05-18,2024,5,18,1052,United States,US-CA-085,California,Santa Clara,Shoreline Park--Shoreline Lake area,37.4323410,-122.0918369,"",,Unspecified,"","",,,,,,,S175399797,"",,,,,Ardea alba,greegr,Species,7635,,4.00,1,,3072,4080
619242703,Photo,Brown Pelican,Pelecanus occidentalis,,Rodrigo Dueñas,2024-05-18,2024,5,18,1052,United States,US-CA-085,California,Santa Clara,Shoreline Park--Shoreline Lake area,37.4323410,-122.0918369,"",,Unspecified,"","",,,,,,,S175399797,"",,,,,Pelecanus occidentalis,brnpel,Species,7697,,3.00,1,,3072,4080
619242609,Photo,Marbled Godwit,Limosa fedoa,,Rodrigo Dueñas,2024-05-18,2024,5,18,932,United States,US-CA-085,California,Santa Clara,Charleston Slough/Coast Casey Forebay,37.4359191,-122.0989180,"",,Unspecified,"","",,,,,,,S175378784,"",,,,,Limosa fedoa,margod,Species,5991,,2.00,1,,4080,3072
619242587,Photo,Great Blue Heron,Ardea herodias,Himantopus mexicanus -- Black-necked Stilt,Rodrigo Dueñas,2024-05-18,2024,5,18,932,United States,US-CA-085,California,Santa Clara,Charleston Slough/Coast Casey Forebay,37.4359191,-122.0989180,"","",Unspecified,"","",,,,,,,S175378784,"",,,,,Ardea herodias,grbher3,Species,7658,,3.00,1,Habitat,4080,3072
619242521,Photo,Black Oystercatcher,Haematopus bachmani,,Rodrigo Dueñas,2024-05-18,2024,5,18,1052,United States,US-CA-085,California,Santa Clara,Shoreline Park--Shoreline Lake area,37.4323410,-122.0918369,"",,Unspecified,"","",,,,,,,S175399797,"",,,,"will add photo, sitting at the island",Haematopus bachmani,blkoys,Species,5749,,1.00,1,,4080,3072
619242520,Photo,Black Oystercatcher,Haematopus bachmani,,Rodrigo Dueñas,2024-05-18,2024,5,18,1052,United States,US-CA-085,California,Santa Clara,Shoreline Park--Shoreline Lake area,37.4323410,-122.0918369,"",,Unspecified,"","",,,,,,,S175399797,"",,,,"will add photo, sitting at the island",Haematopus bachmani,blkoys,Species,5749,,1.00,1,,4080,3072
619037692,Photo,Western Wood-Pewee,Contopus sordidulus,,Rodrigo Dueñas,2024-05-11,2024,5,11,1047,United States,US-CA-097,California,Sonoma,Laguna de Santa Rosa Trail-- including Kelly Pond and Laguna Wetlands Preserve,38.4096167,-122.8124285,"",,Unspecified,"","",,,,,,,S174510998,"",,,,,Contopus sordidulus,wewpew,Species,16745,,3.00,1,,4080,3072
617717428,Photo,Black-crowned Night Heron,Nycticorax nycticorax,,Rodrigo Dueñas,2024-04-19,2024,4,19,1000,United States,US-CA-037,California,Los Angeles,Venice Beach,33.9793728,-118.4672655,"",,Unspecified,"","",,,,,,,S169631720,"",,,,,Nycticorax nycticorax,bcnher,Species,7513,,3.00,1,,3072,4080
617717427,Photo,Black-crowned Night Heron,Nycticorax nycticorax,,Rodrigo Dueñas,2024-04-19,2024,4,19,1000,United States,US-CA-037,California,Los Angeles,Venice Beach,33.9793728,-118.4672655,"",,Unspecified,"","",,,,,,,S169631720,"",,,,,Nycticorax nycticorax,bcnher,Species,7513,,3.00,1,,3072,4080
617717429,Photo,Black-crowned Night Heron,Nycticorax nycticorax,,Rodrigo Dueñas,2024-04-19,2024,4,19,1000,United States,US-CA-037,California,Los Angeles,Venice Beach,33.9793728,-118.4672655,"",,Unspecified,"","",,,,,,,S169631720,"",,,,,Nycticorax nycticorax,bcnher,Species,7513,,5.00,1,,3072,4080
617717295,Photo,"Brandt's Cormorant",Urile penicillatus,,Rodrigo Dueñas,2024-04-20,2024,4,20,1743,United States,US-CA-073,California,San Diego,Point La Jolla--seawatch,32.8507576,-117.2735641,"",,Unspecified,"","",,,,,,,S169552328,"",,,,,Urile penicillatus,bracor,Species,7305,,3.00,1,,3072,4080
617717294,Photo,"Brandt's Cormorant",Urile penicillatus,,Rodrigo Dueñas,2024-04-20,2024,4,20,1743,United States,US-CA-073,California,San Diego,Point La Jolla--seawatch,32.8507576,-117.2735641,"",,Unspecified,"","",,,,,,,S169552328,"",,,,,Urile penicillatus,bracor,Species,7305,,3.00,1,,3072,4080
617717278,Photo,Brown Pelican,Pelecanus occidentalis,,Rodrigo Dueñas,2024-04-20,2024,4,20,1743,United States,US-CA-073,California,San Diego,Point La Jolla--seawatch,32.8507576,-117.2735641,"",,Unspecified,"","",,,,,,,S169552328,"",,,,,Pelecanus occidentalis,brnpel,Species,7697,,4.00,1,,3072,4080
616427612,Photo,Rock Wren,Salpinctes obsoletus,,Rodrigo Dueñas,2024-03-24,2024,3,24,1137,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park--Bayview Trail,37.5555213,-122.0973514,"",,Unspecified,"","",,,,,,,S165849468,"",,,,,Salpinctes obsoletus,rocwre,Species,26901,,3.50,2,,3072,4080
616427604,Photo,Rock Wren,Salpinctes obsoletus,,Rodrigo Dueñas,2024-03-24,2024,3,24,1137,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park--Bayview Trail,37.5555213,-122.0973514,"",,Unspecified,"","",,,,,,,S165849468,"",,,,,Salpinctes obsoletus,rocwre,Species,26901,,1.00,1,,3072,4080
615266973,Photo,Pygmy Nuthatch,Sitta pygmaea,,Rodrigo Dueñas,2024-02-24,2024,2,24,1321,United States,US-CA-085,California,Santa Clara,Cuesta Park,37.3723977,-122.0809901,"",,Unspecified,"","",,,,,,,S162796327,"",,,,,Sitta pygmaea,pygnut,Species,26675,,1.00,1,,4080,3072
615266974,Photo,Pygmy Nuthatch,Sitta pygmaea,,Rodrigo Dueñas,2024-02-24,2024,2,24,1321,United States,US-CA-085,California,Santa Clara,Cuesta Park,37.3723977,-122.0809901,"",,Unspecified,"","",,,,,,,S162796327,"",,,,,Sitta pygmaea,pygnut,Species,26675,,1.00,1,,4080,3072
615266975,Photo,Pygmy Nuthatch,Sitta pygmaea,,Rodrigo Dueñas,2024-02-24,2024,2,24,1321,United States,US-CA-085,California,Santa Clara,Cuesta Park,37.3723977,-122.0809901,"",,Unspecified,"","",,,,,,,S162796327,"",,,,,Sitta pygmaea,pygnut,Species,26675,,1.00,1,,4080,3072
615266972,Photo,Pygmy Nuthatch,Sitta pygmaea,,Rodrigo Dueñas,2024-02-24,2024,2,24,1321,United States,US-CA-085,California,Santa Clara,Cuesta Park,37.3723977,-122.0809901,"",,Unspecified,"","",,,,,,,S162796327,"",,,,,Sitta pygmaea,pygnut,Species,26675,,1.00,1,,1440,1080
614236123,Photo,Southern Lapwing,Vanellus chilensis,,Rodrigo Dueñas,2023-09-10,2023,9,10,1158,Chile,CL-LI-MAC,"Libertador General Bernardo O'Higgins",Machalí,Parque Jardín Las Flores,-34.1785867,-70.6920726,"",,Unspecified,"","",,,,,,,S160292246,"",,,,,Vanellus chilensis,soulap1,Species,5835,,4.00,2,,3072,4080
614232433,Photo,Dark-eyed Junco,Junco hyemalis,,Rodrigo Dueñas,2024-01-29,2024,1,29,1540,United States,US-CA-085,California,Santa Clara,"O'Connor Park",37.3208798,-121.9124965,"",,Unspecified,"","",,,,,,,S160285558,"",,,,,Junco hyemalis,daejun,Species,32842,,1.00,1,,1037,1737
614231410,Photo,"Brewer's Blackbird",Euphagus cyanocephalus,,Rodrigo Dueñas,2024-01-07,2024,1,7,1022,United States,US-CA-085,California,Santa Clara,"51 Curtner Avenue, San Jose, California, US (37.303, -121.863)",37.3026105,-121.8631539,"",,Unspecified,"","",,,,,,,S158367947,"",,,,saw a male and female couple,Euphagus cyanocephalus,brebla,Species,33574,,3.50,2,,3072,4080
614210043,Photo,American Coot,Fulica americana,Anas platyrhynchos -- Mallard,Rodrigo Dueñas,2024-01-30,2024,1,30,1649,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,"",,Unspecified,"","",,,,,,,S160232235,"",,,,,Fulica americana,y00475,Species,5443,,2.00,1,,3072,4080
